book_id,original_title,title,image_url,average_rating,original_publication_year,authors,language_code,ratings_count
2767052,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,4.34,2008.0,suzanne collins,eng,4780653
3,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,4.44,1997.0,"j.k. rowling, mary grandpre",eng,4602479
41865,Twilight,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,3.57,2005.0,stephenie meyer,eng,3866839
2657,To Kill a Mockingbird,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,4.25,1960.0,harper lee,eng,3198671
4671,The Great Gatsby,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,3.89,1925.0,f. scott fitzgerald,eng,2683664
11870085,The Fault in Our Stars,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,4.26,2012.0,john green,eng,2346404
5907,The Hobbit or There and Back Again,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,4.25,1937.0,j.r.r. tolkien,eng,2071616
5107,The Catcher in the Rye,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,3.79,1951.0,j.d. salinger,eng,2044241
1885,Pride and Prejudice,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,4.24,1813.0,jane austen,eng,2035490
960,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,3.85,2000.0,dan brown,eng,2001311
48855,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,4.1,1947.0,"anne frank, eleanor roosevelt, b.m. mooyaart-doubleday",eng,1972666
5470,Nineteen Eighty-Four,1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,4.14,1949.0,"george orwell, erich fromm, celâl üster",eng,1956832
13335037,Divergent,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,4.24,2011.0,veronica roth,eng,1903563
7613,Animal Farm: A Fairy Story,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,3.87,1945.0,george orwell,eng,1881700
5,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,4.53,1999.0,"j.k. rowling, mary grandpre, rufus beck",eng,1832823
6148028,Catching Fire,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,4.3,2009.0,suzanne collins,eng,1831039
77203,The Kite Runner ,The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg,4.26,2003.0,khaled hosseini,eng,1813044
2429135,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg,4.11,2005.0,"stieg larsson, reg keeland",eng,1808403
15881,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,4.37,1998.0,"j.k. rowling, mary grandpre",eng,1779331
34, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,4.34,1954.0,j.r.r. tolkien,eng,1766803
6,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,4.53,2000.0,"j.k. rowling, mary grandpre",eng,1753043
136251,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,4.61,2007.0,"j.k. rowling, mary grandpre",eng,1746574
2,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,4.46,2003.0,"j.k. rowling, mary grandpre",eng,1735368
7260188,Mockingjay,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg,4.03,2010.0,suzanne collins,eng,1719760
1,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,4.54,2005.0,"j.k. rowling, mary grandpre",eng,1678823
18135,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg,3.73,1595.0,"william shakespeare, robert           jackson",eng,1628519
12232938,The Lovely Bones,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg,3.77,2002.0,alice sebold,eng,1605173
7624,Lord of the Flies ,Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg,3.64,1954.0,william golding,eng,1605019
100915,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,4.19,1950.0,c.s. lewis,eng,1531800
4667024,The Help,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg,4.45,2009.0,kathryn stockett,eng,1531753
890,Of Mice and Men ,Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg,3.84,1937.0,john steinbeck,eng,1467496
968,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999m/968.jpg,3.79,2003.0,dan brown,eng,1447148
28187,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg,4.23,2005.0,rick riordan,eng,1366265
10818853,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843m/10818853.jpg,3.67,2011.0,e.l. james,eng,1338493
13496,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg,4.45,1996.0,george r.r. martin,eng,1319204
930,Memoirs of a Geisha,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.08,1997.0,arthur golden,eng,1300209
865,O Alquimista,The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg,3.82,1988.0,"paulo coelho, alan r. clarke",eng,1299566
3636,The Giver,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg,4.12,1993.0,lois lowry,eng,1296825
1934,Little Women,"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.04,1868.0,louisa may alcott,eng,1257121
10210,Jane Eyre,Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg,4.1,1847.0,"charlotte brontë, michael mason",eng,1198557
19501,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",https://images.gr-assets.com/books/1503066414m/19501.jpg,3.51,2006.0,elizabeth gilbert,eng,1181647
19063,The Book Thief,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg,4.36,2005.0,markus zusak,eng,1159741
256683,City of Bones,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315m/256683.jpg,4.12,2007.0,cassandra clare,eng,1154031
49041,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,3.52,2006.0,stephenie meyer,eng,1149630
428263,Eclipse,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg,3.69,2007.0,stephenie meyer,eng,1134511
113436,Eragon,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg,3.86,2002.0,christopher paolini,eng,1104021
1162543,Breaking Dawn,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg,3.7,2008.0,stephenie meyer,eng,1070245
43641,Water for Elephants,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg,4.07,2006.0,sara gruen,eng,1068146
24178,Charlotte's Web,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg,4.15,1952.0,"e.b. white, garth williams, rosemary wells",eng,1064521
15931,The Notebook,"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917m/15931.jpg,4.06,1996.0,nicholas sparks,eng,1053403
5129,Brave New World,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg,3.97,1932.0,aldous huxley,eng,1022601
30119,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg,4.29,1974.0,shel silverstein,eng,1016888
22557272,The Girl on the Train,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg,3.88,2015.0,paula hawkins,eng,1008778
4214,Life of Pi,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg,3.88,2001.0,yann martel,,1003228
119322,Northern Lights,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg,3.94,1995.0,philip pullman,eng,953970
2956,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg,3.8,1884.0,"mark twain, john seelye, guy cardwell",eng,953758
11,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg,4.2,1979.0,douglas adams,eng,936782
37435,The Secret Life of Bees,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg,4.01,2001.0,sue monk kidd,eng,916189
6185,Wuthering Heights,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.82,1847.0,"emily brontë, richard j. dunn",eng,899195
22628,The Perks of Being a Wallflower,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg,4.21,1999.0,stephen chbosky,eng,888806
18405,Gone with the Wind,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg,4.28,1936.0,margaret mitchell,eng,873981
1618,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg,3.85,2003.0,mark haddon,eng,867553
10917,My Sister's Keeper,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg,4.06,2004.0,jodi picoult,eng,863879
4981,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg,4.06,1969.0,kurt vonnegut jr.,eng,846488
